1,05-19.scl,05-19,5,"""5 out of 19-tET"""
2,05-22.scl,05-22,5,"""Pentatonic ""generator"" of 09-22.scl"""
3,05-24.scl,05-24,5,"""5 out of 24-tET, symmetrical"""
4,06-41.scl,06-41,6,"""Hexatonic scale in 41-tET, Magic-6"""
5,07-19.scl,07-19,7,"""Nineteen-tone equal major"""
6,07-31.scl,07-31,7,"""Strange diatonic-like strictly proper scale"""
7,07-37.scl,07-37,7,"""Miller's Porcupine-7"""
8,08-11.scl,08-11,8,"""8 out of 11-tET"""
9,08-13.scl,08-13,8,"""8 out of 13-tET"""
10,08-19.scl,08-19,8,"""8 out of 19-tET, Mandelbaum"""
11,08-37.scl,08-37,8,"""Miller's Porcupine-8"""
12,09-15.scl,09-15,9,"""Charyan scale of Andal, Boudewijn Rempt (1999), 1/1=A"""
13,09-19.scl,09-19,9,"""9 out of 19-tET, Mandelbaum. Negri[9]"""
14,09-19a.scl,09-19a,9,"""Second strictly proper 9 out of 19 scale"""
15,09-22.scl,09-22,9,"""Trivalent scale in 22-tET, TL 05-12-2000"""
16,09-23.scl,09-23,9,"""9 out of 23-tET, Dan Stearns"""
17,09-29.scl,09-29,9,"""Cycle of g=124.138 in 29-tET (Negri temperament)"""
18,09-31.scl,09-31,9,"""Scott Thompson scale 724541125"""
19,10-13-58.scl,10-13-58,10,"""Single chain pseudo-MOS of major and neutral thirds in 58-tET"""
20,10-13.scl,10-13,10,"""10 out of 13-tET MOS, Carl Lumma, TL 21-12-1999"""
21,10-19.scl,10-19,10,"""10 out of 19-tET, Mandelbaum. Negri[10]"""
22,10-29.scl,10-29,10,"""10 out of 29-tET, chain of 124.138 cents intervals, Keenan"""
23,11-18.scl,11-18,11,"""11 out of 18-tET, g=333.33, TL 27-09-2009"""
24,11-19-gould.scl,11-19-gould,11,"""11 out of 19-tET, Mark Gould (2002)"""
25,11-19-krantz.scl,11-19-krantz,11,"""11 out of 19-tET, Richard Krantz"""
26,11-19-mclaren.scl,11-19-mclaren,11,"""11 out of 19-tET, Brian McLaren. Asc: 311313313 Desc: 313131313"""
27,11-23.scl,11-23,11,"""11 out of 23-tET, Dan Stearns"""
28,11-31.scl,11-31,11,"""Jon Wild, 11 out of 31-tET, g=7/6, TL 9-9-1999"""
29,11-34.scl,11-34,11,"""Erv Wilson, 11 out of 34-tET, chain of minor thirds"""
30,11-37.scl,11-37,11,"""Jake Freivald, 11 out of 37-tET, g=11/8, TL 22-08-2012"""
31,11-limit-only.scl,11-limit-only,11,"""11-limit-only"""
32,12-17.scl,12-17,12,"""12 out of 17-tET, chain of fifths"""
33,12-19.scl,12-19,12,"""12 out of 19-tET scale from Mandelbaum's dissertation"""
34,12-22.scl,12-22,12,"""12 out of 22-tET, chain of fifths"""
35,12-22h.scl,12-22h,12,"""Hexachordal 12-tone scale in 22-tET"""
36,12-27.scl,12-27,12,"""12 out of 27, Herman Miller's Galticeran scale"""
37,12-31.scl,12-31,12,"""12 out of 31-tET, meantone Eb-G#"""
38,12-31_11.scl,12-31 11,12,"""11-limit 12 out of 31-tET, George Secor"""
39,12-43.scl,12-43,12,"""12 out of 43-tET (1/5-comma meantone)"""
40,12-46.scl,12-46,12,"""12 out of 46-tET, diaschismic"""
41,12-46p.scl,12-46p,12,"""686/675 comma pump scale in 46-tET"""
42,12-50.scl,12-50,12,"""12 out of 50-tET, meantone Eb-G#"""
43,12-79mos159et.scl,12-79mos159et,12,"""12-tones out of 79 MOS 159ET, Splendid Beat Rates Based on Simple Frequencies version, C=262hz"""
44,12-yarman24a.scl,12-yarman24a,12,"""12-tones out of Yarman24a, circulating in the style of Rameau's Modified Meantone Temperament"""
45,12-yarman24b.scl,12-yarman24b,12,"""12-tones out of Yarman24b, circulating in the style of Rameau's Modified Meantone Temperament"""
46,12-yarman24c.scl,12-yarman24c,12,"""12-tones out of Yarman24c, circulating in the style of Rameau's Modified Meantone Temperament"""
47,12-yarman24d.scl,12-yarman24d,12,"""12-tones out of Yarman24d, circulating in the style of Rameau's Modified Meantone Temperament"""
48,13-19.scl,13-19,13,"""13 out of 19-tET, Mandelbaum"""
49,13-22.scl,13-22,13,"""13 out of 22-tET, generator = 5"""
50,13-30t.scl,13-30t,13,"""Tritave with 13/10 generator, 91/90 tempered out"""
