1,0.0,1/ 1,"Unison, monophony, perfect prime, tonic, or fundamental","1, 12",3,Meantone,
2,0.4,4375/ 4374,"Ragisma","",7,,Superparticular
3,0.72,2401/ 2400,"Breedsma","",7,,Superparticular
4,1.0,2 to the power of 1/1200,"Cent","1200",0,,
5,1.2,2 to the power of 1/1000,"Millioctave","1000",0,,
6,1.95,32805/ 32768,"Schisma","",5,,
7,3.99,10 to the power of 1/1000,"Savart or eptaméride","301.03",0,,
8,7.71,225/ 224,"Septimal kleisma, marvel comma","",7,,Superparticular
9,8.11,15625/ 15552,"Kleisma or semicomma majeur","",5,,
10,10.06,2109375/ 2097152,"Semicomma, Fokker's comma","",5,,
11,10.85,160/ 159,"Difference between 5:3 & 53:32","",53,,Superparticular
12,11.98,145/ 144,"Difference between 29:16 & 9:5","",29,,Superparticular
13,12.5,2 to the power of 1/96,"Sixteenth tone","96",0,,
14,13.07,1728/ 1715,"Orwell comma","",7,,
15,13.47,129/ 128,"Hundred-twenty-ninth harmonic","",43,,Superparticular
16,13.79,126/ 125,"Small septimal semicomma, small septimal comma, starling comma","",7,,Superparticular
17,14.37,121/ 120,"Undecimal seconds comma","",11,,Superparticular
18,16.67,2 to the power of 1/72,"1 step in 72 equal temperament","72",0,,
19,18.13,96/ 95,"Difference between 19:16 & 6:5","",19,,Superparticular
20,19.55,2048/ 2025,"Diaschisma, minor comma","",5,,
21,21.51,81/ 80,"Syntonic comma, major comma, komma, chromatic diesis, or comma of Didymus","",5,,Superparticular
22,22.64,2 to the power of 1/53," Holdrian comma, Holder's comma, 1 step in 53 equal temperament","53",0,,
23,23.46,531441/ 524288," Pythagorean comma,[3][5][6][9][10] ditonic comma[3][6]","",3,,
24,25.0,2 to the power of 1/48,"Eighth tone","48",0,,
25,26.84,65/64,"Sixty-fifth harmonic,[5] 13th-partial chroma[3]","",13,,Superparticular
26,27.26,64/63,"Septimal comma,[3][6][10] Archytas' comma,[3]63rd subharmonic","",7,,Superparticular
27,29.27,2 to the power of 1/41,"1 step in 41 equal temperament","41",0,,
28,31.19,56/55,"Ptolemy's enharmonic:[5] difference between (11 : 8) and (7 : 5) tritone","",11,,Superparticular
29,33.33,2 to the power of 1/36,"Sixth tone","36, 72",0,,
30,34.28,51/ 50,"Difference between 17:16 & 25:24","",17,,Superparticular
31,34.98,50/ 49," Septimal sixth tone or jubilisma, Erlich's decatonic comma or tritonic diesis[3][6]","",7,,Superparticular
32,35.7,49/ 48," Septimal diesis, slendro diesis or septimal 1/6-tone[3]","",7,,Superparticular
33,38.05,46/ 45," Inferior quarter tone,[5] difference between 23:16 & 45:32","",23,,Superparticular
34,38.71,2 to the power of 1/31," 1 step in 31 equal temperament","31",0,,
35,38.91,45/ 44," Undecimal diesis or undecimal fifth tone","",11,,Superparticular
36,40.0,2 to the power of 1/30," Fifth tone","30",0,,
37,41.06,128/ 125," Enharmonic diesis or 5-limit limma, minor diesis,[6] diminished second,[5][6] minor diesis or diesis,[3] 125th subharmonic","",5,,
38,41.72,42/ 41," Lesser 41-limit fifth tone","",41,,Superparticular
39,42.75,41/ 40," Greater 41-limit fifth tone","",41,,Superparticular
40,43.83,40/ 39," Tridecimal fifth tone","",13,,Superparticular
41,44.97,39/ 38," Superior quarter-tone,[5] novendecimal fifth tone","",19,,Superparticular
42,46.17,38/ 37," Lesser 37-limit quarter tone","",37,,Superparticular
43,47.43,37/ 36," Greater 37-limit quarter tone","",37,,Superparticular
44,48.77,36/ 35," Septimal quarter tone, septimal diesis,[3][6]septimal comma,[2] superior quarter tone[5]","",7,,Superparticular
45,49.98,246/ 239," Just quarter tone[10]","",239,,
46,50.0,2 to the power of 1/24," Equal-tempered quarter tone","24",0,,
47,50.18,35/ 34," ET quarter-tone approximation,[5] lesser 17-limit quarter tone","",17,,Superparticular
48,50.72,59049/ 57344," Harrison's comma (9 P5s - 1 H7)[3]","",7,,
49,51.68,34/ 33," Greater 17-limit quarter tone","",17,,Superparticular
50,53.27,33/ 32," Thirty-third harmonic,[5] undecimal comma, undecimal quarter tone","",11,,Superparticular
51,54.96,32/ 31," Inferior quarter-tone,[5] thirty-first subharmonic","",31,,Superparticular
52,56.55,529/ 512," Five-hundred-twenty-ninth harmonic","",23,,
53,56.77,31/ 30," Greater quarter-tone,[5] difference between 31:16 & 15:8","",31,,Superparticular
54,58.69,30/ 29," Lesser 29-limit quarter tone","",29,,Superparticular
55,60.75,29/ 28," Greater 29-limit quarter tone","",29,,Superparticular
56,62.96,28/ 27," Septimal minor second, small minor second, inferior quarter tone[5]","",7,,Superparticular
57,63.81,(3/ 2) to the power of 1/11," Beta scale step","18.75",0,,
58,65.34,27/ 26," Chromatic diesis,[11] tridecimal comma[3]","",13,,Superparticular
59,66.34,133/ 128," One-hundred-thirty-third harmonic","",19,,
60,66.67,2 to the power of 1/18," Third tone","18, 36, 72",0,,
61,67.9,26/ 25," Tridecimal third tone, third tone[5]","",13,,Superparticular
62,70.67,25/ 24," Just chromatic semitone or minor chroma,[3]lesser chromatic semitone, small (just) semitone[10] or minor second,[4] minor chromatic semitone,[12] or minor semitone,[5]2/7-comma meantone chromatic semitone","",5,,Superparticular
63,73.68,24/ 23," Lesser 23-limit semitone","",23,,Superparticular
64,75.0,2 to the power of 1/16," 1 step in 16 equal temperament, 3 steps in 48","16, 48",0,,
65,76.96,23 / 22," Greater 23-limit semitone","",23,,Superparticular
66,78.0,(3/ 2) to the power of 1/9," Alpha scale step","15.39",0,,
67,79.31,67 / 64," Sixty-seventh harmonic[5]","",67,,
68,80.54,22 / 21," Hard semitone,[5] two-fifth tone small semitone","",11,,Superparticular
69,84.47,21 / 20," Septimal chromatic semitone, minor semitone[3]","",7,,Superparticular
70,88.8,20 / 19," Novendecimal augmented unison","",19,,Superparticular
71,90.22,256 / 243," Pythagorean minor second or limma,[3][6][10]Pythagorean diatonic semitone, Low Semitone[13]","",3,,
72,92.18,135 / 128," Greater chromatic semitone, chromatic semitone, semitone medius, major chroma or major limma,[3] small limma,[10] major chromatic semitone,[12] limma ascendant[5]","",5,,
73,93.6,19 / 18,"Novendecimal minor second  ","",19,,Superparticular
74,97.36,128 / 121," 121st subharmonic[5][6]","",11,,
75,98.95,18 / 17," Just minor semitone, Arabic lute index finger[3]","",17,,Superparticular
76,100.0,2 to the power of 1/12," Equal-tempered minor second or semitone","12",0,Meantone,
77,104.96,17 / 16," Minor diatonic semitone, just major semitone, overtone semitone,[5] 17th harmonic,[3]limma[citation needed]","",17,,Superparticular
78,111.45,(5/1) to the power of 1/25," Studie II interval (compound just major third, 5:1, divided into 25 equal parts)","25",0,,
79,111.73,16 / 15," Just minor second,[14] just diatonic semitone, large just semitone or major second,[4] major semitone,[5] limma, minor diatonic semitone,[3] diatonic second[15] semitone,[13]diatonic semitone,[10] 1/6-comma meantone minor second","",5,,Superparticular
80,113.69,2187 / 2048," apotome[3][10] or Pythagorean major semitone,[6] Pythagorean augmented unison, Pythagorean chromatic semitone, or Pythagorean apotome","",3,,
81,116.72,(18/ 5) to the power of 1/19," Secor","10.28",0,,
82,119.44,15 / 14," Septimal diatonic semitone, major diatonic semitone,[3] Cowell semitone[5]","",7,,Superparticular
83,125.0,2 to the power of 5/48," 5 steps in 48 equal temperament","48",0,,
84,128.3,14 / 13," Lesser tridecimal 2/3-tone[16]","",13,,Superparticular
85,130.23,69 / 64," Sixty-ninth harmonic[5]","",23,,
86,133.24,27 / 25," Semitone maximus, minor second, large limma or Bohlen-Pierce small semitone,[3]high semitone,[13] alternate Renaissance half-step,[5] large limma, acute minor second[citation needed]","",5,,
87,133.33,2 to the power of 1/9," Two-third tone","9, 18, 36, 72",0,,
88,138.57,13 / 12," Greater tridecimal 2/3-tone,[16] Three-quarter tone[5]","",13,,Superparticular
89,150.0,2 to the power of 3/24," Equal-tempered neutral second","8, 24",0,,
90,150.64,12 / 11," 3/4-tone or Undecimal neutral second,[3][5]trumpet three-quarter tone,[10] middle finger [between frets][13]","",11,,Superparticular
91,155.14,35 / 32," Thirty-fifth harmonic[5]","",7,,
92,160.9,800 / 729," Grave whole tone,[3] neutral second, grave major second[citation needed]","",5,,
93,165.0,11 / 10," Greater undecimal minor/major/neutral second, 4/5-tone[6] or Ptolemy's second[3]","",11,,Superparticular
94,171.43,2 to the power of 1/7," 1 step in 7 equal temperament","7",0,,
95,175.0,2 to the power of 7/48," 7 steps in 48 equal temperament","48",0,,
96,179.7,71 / 64," Seventy-first harmonic[5]","",71,,
97,180.45,65536 / 59049," Pythagorean diminished third,[3][6]Pythagorean minor tone","",3,,
98,182.4,10 / 9," Small just whole tone or major second,[4]minor whole tone,[3][5] lesser whole tone,[15]minor tone,[13] minor second,[10] half-comma meantone major second","",5,,Superparticular
99,200.0,2 to the power of 2/12," Equal-tempered major second","6, 12",0,Meantone,
100,203.91,9 / 8," Pythagorean major second, Large just whole tone or major second[10] (sesquioctavan),[4]tonus, major whole tone,[3][5] greater whole tone,[15] major tone[13]","",3,,Superparticular
101,215.89,145 / 128," Hundred-forty-fifth harmonic","",29,,
102,223.46,256 / 225," Just diminished third,[15] 225th subharmonic","",5,,
103,225.0,2 to the power of 3/16," 9 steps in 48 equal temperament","16, 48",0,,
104,227.79,73 / 64," Seventy-third harmonic[5]","",73,,
105,231.17,8 / 7," Septimal major second,[4] septimal whole tone[3][5]","",7,,Superparticular
106,240.0,2 to the power of 1/5," 1 step in 5 equal temperament","5",0,,
107,247.74,15 / 13," Tridecimal 5/4 tone[3]","",13,,
108,250.0,2 to the power of 5/24," 5 steps in 24 equal temperament","24",0,,
109,251.34,37 / 32," Thirty-seventh harmonic[5]","",37,,
110,253.08,125 / 108," Semi-augmented whole tone,[3] semi-augmented second[citation needed]","",5,,
111,262.37,64 / 55," 55th subharmonic[5][6]","",11,,
112,268.8,299 / 256," Two-hundred-ninety-ninth harmonic","",23,,
113,266.87,7 / 6," Septimal minor third[3][4][10] or Sub minor third[13]","",7,,Superparticular
114,274.58,75 / 64," Just augmented second,[15] Augmented tone,[13] augmented second[5][12]","",5,,
115,275.0,2 to the power of 11/48," 11 steps in 48 equal temperament","48",0,,
116,289.21,13 / 11," Tridecimal minor third[3]","",13,,Superparticular
117,294.13,32 / 27," Pythagorean minor third[3][5][6][13][15]semiditone, or 27th subharmonic","",3,,
118,297.51,19 / 16," 19th harmonic,[3] 19-limit minor third, overtone minor third[5]","",19,,
119,300.0,2 to the power of 3/12," Equal-tempered minor third","4, 12",0,Meantone,
120,301.85,25 / 21[5]," Quasi-equal-tempered minor third, 2nd 7-limit minor third, Bohlen-Pierce second[3][6]","",7,,
121,310.26,(6/5)/(81/80 to the power of 1/4)," Quarter-comma meantone minor third","",0,Meantone,
122,311.98,(3/ 2) to the power of 4/9," Alpha scale minor third","3.85",0,,
