1,0,1 : 1,3,Meantone,,"1,12","Unison, monophony, perfect prime, tonic, or fundamental"
2,0.4,4375:4374,7,,Superparticular,,Ragisma
3,0.72,2401:2400,7,,Superparticular,,Breedsma
4,1,2 to the power of (1/1200),,,,1200,Cent
5,1.2,2 to the power of (1/1000),,,,1000,Millioctave
6,1.95,32805/ 32768,5,,,,Schisma
7,3.99,10 to the power of 1/1000,0,,,301,Savart or eptaméride
8,7.71,225/ 224,7,,Superparticular,,"Septimal kleisma, marvel comma"
9,8.11,15625/ 15552,5,,,,Kleisma or semicomma majeur
10,10.06,2109375/ 2097152,5,,,,"Semicomma, Fokker's comma"
