1,0,1/1,3,Meantone,,"1, 12","Unison, monophony, perfect prime, tonic, or fundamental"
2,0.4,4375/4374,7,,Superparticular,,Ragisma
3,0.72,2401/2400,7,,Superparticular,,Breedsma
4,1,2 to the power of 1/1200,0,,,1200,Cent
5,1.2,2 to the power of 1/1000,0,,,1000,Millioctave
6,1.95,32805/ 32768,5,,,,Schisma
7,3.99,10 to the power of 1/1000,0,,,301.01,Savart or eptaméride
8,7.71,225/ 224,7,,Superparticular,,"Septimal kleisma, marvel comma"
9,8.11,15625/ 15552,5,,,,Kleisma or semicomma majeur
10,10.06,2109375/ 2097152,5,,,,"Semicomma, Fokker's comma"
11,10.85,160/ 159,53,,Superparticular,,Difference between 5:3 & 53:32
12,11.98,145/ 144,29,,Superparticular,,Difference between 29:16 & 9:5
13,12.5,2 to the power of 1/96,0,,,96,Sixteenth tone
14,13.07,1728/ 1715,7,,,,Orwell comma
15,13.47,129/ 128,43,,Superparticular,,Hundred-twenty-ninth harmonic
16,13.79,126/ 125,7,,Superparticular,,"Small septimal semicomma, small septimal comma, starling comma"
17,14.37,121/ 120,11,,Superparticular,,Undecimal seconds comma
18,16.67,2 to the power of 1/72,0,,,72,1 step in 72 equal temperament
19,18.13,96/ 95,19,,Superparticular,,Difference between 19:16 & 6:5
20,19.55,2048/ 2025,5,,,,"Diaschisma, minor comma"
21,21.51,81/ 80,5,,Superparticular,,"Syntonic comma, major comma, komma, chromatic diesis, or comma of Didymus"
22,22.64,2 to the power of 1/53,0,,,53,"Holdrian comma, Holder's comma, 1 step in 53 equal temperament"
23,23.46,531441/ 524288,3,,,,"Pythagorean comma,[3][5][6][9][10] ditonic comma[3][6]"
24,25,2 to the power of 1/48,0,,,48,Eighth tone
25,26.84,65/64,13,,Superparticular,,"Sixty-fifth harmonic,[5] 13th-partial chroma[3]"
26,27.26,64/63,7,,Superparticular,,"Septimal comma,[3][6][10] Archytas' comma,[3]63rd subharmonic"
27,29.27,2 to the power of 1/41,0,,,41,1 step in 41 equal temperament
28,31.19,56/55,11,,Superparticular,,Ptolemy's enharmonic:[5] difference between (11 : 8) and (7 : 5) tritone
29,33.33,2 to the power of 1/36,0,,,"36, 72",Sixth tone
30,34.28,51/ 50,17,,Superparticular,,Difference between 17:16 & 25:24
31,34.98,50/ 49,7,,Superparticular,,"Septimal sixth tone or jubilisma, Erlich's decatonic comma or tritonic diesis[3][6]"
32,35.7,49/ 48,7,,Superparticular,,"Septimal diesis, slendro diesis or septimal 1/6-tone[3]"
33,38.05,46/ 45,23,,Superparticular,,"Inferior quarter tone,[5] difference between 23:16 & 45:32"
34,38.71,2 to the power of 1/31,0,,,31,1 step in 31 equal temperament
35,38.91,45/ 44,11,,Superparticular,, Undecimal diesis or undecimal fifth tone
36,40,2 to the power of 1/30,0,,,30, Fifth tone
